#LINK,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0062,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/hospital,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,address,katagaki,location,telephoneNumber,extensionNumber,faxNumber,corporateNumber,corporateName,medicalCode,availableDate,medicalStartTime,medicalEndTime,availableDateNote,overtimeResponse,medicalSubjects,numberOfBeds,referenceObject,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
497,372013,,香川県,高松市,すみたに歯科・矯正歯科医院,スミタニシカ・キョウセイシカイイン,歯科,香川県高松市昭和町二丁目15-1,,",",087-831-7080,,087-831-7080,,住谷　光治,,月火水木金土,09：00,18：00,木曜日午後休診。,,歯科、矯正歯科,0,https://www.sumitani.net/,
498,372013,,香川県,高松市,諏訪歯科医院,スワシカイイン,歯科,香川県高松市香川町川東下644-1,,",",087-879-7746,,087-879-7746,,諏訪　一昭,,月火水木金土,09：00,20：00,土曜日12：30まで。,,歯科、小児歯科,0,,
499,372013,,香川県,高松市,生協へいわ歯科診療所,セイキョウヘイワシカシンリョウジョ,歯科,香川県高松市栗林町一丁目3-24,,",",087-837-6480,,,,香川医療生活協同組合,,月火水木金土,09：00,20：00,月曜日、火曜日18：30まで。木曜日12：30まで。土曜日17：00まで。,,歯科、小児歯科,0,https://kagawa.coop/sika/4580,
500,372013,,香川県,高松市,関元歯科医院,セキモトシカイイン,歯科,香川県高松市上之町三丁目9-28,,",",087-867-7431,,087-867-7431,,関元　直登,,月火水木金土,09：00,18：00,木曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://www.swjo.jp/dental-sekimoto/,
501,372013,,香川県,高松市,そごう歯科医院,ソゴウシカイイン,歯科,香川県高松市十川西町180-3,,",",087-848-3200,,087-848-5777,,十河　陽治,,月火水木金土,09：00,18：30,水曜日12：30まで。,,歯科、小児歯科,0,http://www.418takamatu.com/hospital/sogou/,
502,372013,,香川県,高松市,高田歯科口腔外科医院,タカダシカコウクウゲカイイン,歯科,香川県高松市御厩町476,,",",087-886-4600,,,,髙田　匡基,,月火水木金土,09：00,18：00,, ,歯科、矯正歯科、歯科口腔外科,0,"https://dental-clinic.dr-navip.jp/kagawa/facility/4001/
https://localplace.jp/t100343595/",
503,372013,,香川県,高松市,高橋歯科医院,タカハシシカイイン,歯科,香川県高松市番町三丁目15-21,,",",087-833-3328,,087-833-3375,,高橋　博之,,月火水木金土,09：00,18：00,土曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,,
504,372013,,香川県,高松市,高橋歯科医院,タカハシシカイイン,歯科,香川県高松市塩上町一丁目5-3,,",",087-833-5564,,087-833-5764,,髙橋　利之,,月火水金土,09：00,13：00,,,歯科、小児歯科,0,,
505,372013,,香川県,高松市,高松駅前アルファ歯科クリニック,タカマツエキマエアルファシカクリニック,歯科,香川県高松市西内町1-6,アルファリビング高松駅前1階,",",087-821-2418,,,,医療法人アルファ,,月水木金土,10：00,19：30,, ,歯科、小児歯科、歯科口腔外科歯科口腔外科,0,https://www.a-dental.info/,
506,372013,,香川県,高松市,高松歯科口腔外科クリニック,タカマツシカコウクウゲカクリニック,歯科,香川県高松市塩屋町11-16,,",",087-813-1666,,087-813-1667,,細江　美知,,火水木金土,14：00,20：00,土曜日10：00から16：00まで。,,歯科、口腔外科,0,http://www.oms-center.com/,
507,372013,,香川県,高松市,高松歯科診療所,タカマツシカシンリョウジョ,歯科,香川県高松市福岡町三丁目36-23,,",",087-851-1166,,,,社団法人高松市歯科医師会,,月火水木金土日祝,09：00,16：30,月曜日、木曜日、土曜日16：30、日曜日、祝日16：00まで。月曜日から土曜日19：30から22：00夜間診療。,,歯科,0,http://www.418takamatu.com/,
508,372013,,香川県,高松市,たかまつファミリー歯科医院,タカマツファミリーシカイイン,歯科,香川県高松市春日町812-1,,",",087-813-8788,,087-813-8876,,髙松　昇一郎,,月火水木金土,09：00,18：30,水曜日13：00まで。, ,歯科、矯正歯科、小児歯科、歯科口腔外科,0,https://www.takamatsu-fdc.com/,
509,372013,,香川県,高松市,たけい歯科クリニック,タケイシカクリニック,歯科,香川県高松市中央町16-17,西村会計事務所ビル2F,",",087-862-5482,,087-862-5482,,武井　延哲,,月火水木金土,09：00,18：00,土曜日13：00まで。第3土曜日休診。,,歯科、小児歯科、歯科口腔外科,0,http://www.takei-shika.com/,
510,372013,,香川県,高松市,武田歯科医院,タケダシカイイン,歯科,香川県高松市サンポート2-1,シンボルタワービジネススクウェア9F,",",087-822-0972,,087-822-8022,,武田　聡史,,月火水木金土,09：00,18：00,木曜日13：00、土曜日17：00まで。第2土曜日休診。, ,歯科,0,http://www.sunport-takeda.com/,
511,372013,,香川県,高松市,たけま歯科医院,タケマシカイイン,歯科,香川県高松市牟礼町大町1550-10,,",",087-870-1360,,087-870-1360,,竹間　和重,,月火木金土,09：30,19：00,,,歯科、小児歯科,0,,
512,372013,,香川県,高松市,多田歯科医院,タダシカイイン,歯科,香川県高松市木太町792-6,,",",087-815-2010,,087-815-2008,,多田　彰仁,,月火水金土,09：00,19：30,土曜日17：00まで。,,歯科、矯正歯科、小児歯科,0,http://tadashika.jp/,
513,372013,,香川県,高松市,立本歯科診療所,タテモトシカシンリョウジョ,歯科,香川県高松市新北町1-11,,",",087-862-2001,,087-862-2003,,立本　悟,,月火木金土,09：00,18：00,,,歯科,0,,
514,372013,,香川県,高松市,谷口歯科医院,タニグチシカイイン,歯科,香川県高松市常磐町一丁目9-14,,",",087-831-8020,,087-831-8021,,谷口　潔,,月火水木金土,08：30,19：00,　,,歯科,0,http://www.tani8020.jp/info.php,
515,372013,,香川県,高松市,たにぐち歯科医院,タニグチシカイイン,歯科,香川県高松市上之町一丁目4-5,,",",087-816-7551,,087-816-7455,,谷口　徳広,,月火水木金,09：00,18：00,水曜日12：00まで。,,歯科、矯正歯科、小児歯科,0,https://itp.ne.jp/info/379992734154050090/,
516,372013,,香川県,高松市,谷本歯科医院,タニモトシカイイン,歯科,香川県高松市仏生山町乙54-7,,",",087-889-0644,,087-889-0644,,徳丸　和代,,月火水金土,08：30,18：00,,,歯科、小児歯科,0,,
517,372013,,香川県,高松市,田町たかはし歯科医院,タマチタカハシシカイイン,歯科,香川県高松市東田町1-1,ビーイング今竹2F,",",087-837-7205,,087-837-7205,,髙橋　利友,,月火水木金土,09：00,18：00,土曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://www.taka84.jp/,
518,372013,,香川県,高松市,つかだ歯科医院,ツカダシカイイン,歯科,香川県高松市屋島西町2479-27,,",",087-844-9082,,087-844-9068,,塚田　英治,,月火水木金土,09：00,18：00,土曜日13：00まで。,,歯科、矯正歯科、小児歯科,0,http://www.tukada-dc.com/,
519,372013,,香川県,高松市,月見ケ丘歯科クリニック,ツキミガオカシカクリニック,歯科,香川県高松市香南町横井989-1,,",",087-879-0220,,087-879-0221,,尾崎　正幸,,月水木金土日,09：00,19：00,日曜日17：00まで。,,歯科、小児歯科,0,,
520,372013,,香川県,高松市,佃歯科医院,ツクダシカイイン,歯科,香川県高松市栗林町一丁目9-16,,",",087-831-8244,,,,医療法人つくだ歯科医院,,月火水木金土,09：00,18：00,水曜日13：00まで。, ,歯科、矯正歯科、小児歯科、歯科口腔外科,0,"http://www.tsukuda-dc.com/
https://itp.ne.jp/info/375604905400000899/",
521,372013,,香川県,高松市,つつみ歯科医院,ツツミシカイイン,歯科,香川県高松市国分寺町福家甲3853-6,,",",087-874-7373,,087-874-7329,,堤　久雄,,月火水金土,09：00,18：00,木曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://tsutsumi-dentalclinic.jp/,
522,372013,,香川県,高松市,つばさ歯科医院,ツバサシカイイン,歯科,香川県高松市西宝町一丁目4-21,,",",087-802-0418,,087-802-0419,,奥谷　諭,,月火水金土,09：00,19：00,, ,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://www.tsubasa-shika.jp/,
523,372013,,香川県,高松市,てらい歯科矯正歯科,テライシカキョウセイシカ,歯科,香川県高松市春日町485-15,,",",087-844-4187,,087-844-4178,,医療法人社団てらい歯科矯正歯科,,月火水金土日,09：00,18：00,木曜日13：00まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://teraidc.info/,
524,372013,,香川県,高松市,デンタルステーションアップル歯科医院,デンタルステーションアップルシカイイン,歯科,香川県高松市太田上町420-1,すこやかタウン内,",",087-868-7777,,,,医療法人社団グローバル会,,火水木金土,09：00,18：00,土曜日17：00まで祝日のある週の月曜日は9：00～18：00,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://global-kai.com/facility/otakami/,
525,372013,,香川県,高松市,デンタルステーションスマイル歯科医院,デンタルステーションスマイルシカイイン,歯科,香川県高松市郷東町134-1,西高松メディカルビルイーア4階,",",087-832-8844,,087-832-8889,,医療法人社団グローバル会,,月火水木金土,09：00,17：00,木曜日13：00まで。祝日のある週の木曜日は9：00～17：00,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://global-kai.com/facility/goto/,
526,372013,,香川県,高松市,デンタルステーション谷本歯科医院,デンタルステーションタニモトシカイイン,歯科,香川県高松市香西本町311,,",",087-882-1181,,087-882-1181,,医療法人社団グローバル会,,月火水木金土,09：00,17：00,木曜日13：00まで。祝日のある週の木曜日は9：00～17：00,,歯科、矯正歯科、小児歯科,0,http://global-kai.com/facility/kozaihon/,
527,372013,,香川県,高松市,デンタルステーションピース歯科医院,デンタルステーションピースシカイイン,歯科,香川県高松市東山崎町668-1,,",",087-847-2525,,087-847-0321,,医療法人社団グローバル会,,月火水金土,10：00,19：00,土曜日9：00～17：00。祝日のある週の木曜日は10：00～19：00,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://global-kai.com/facility/higashiyamasaki/,
528,372013,,香川県,高松市,デンタルステーションプリンス歯科医院,デンタルステーションプリンスシカイイン,歯科,香川県高松市国分寺町福家3812-1,イオンタウン国分寺メディカルモール,",",087-874-8844,,,,医療法人社団グローバル会,,月火水金土,10：00,19：00,土曜日9：00～17：00。祝日のある週の木曜日は10：00～19：00,,歯科、小児歯科、歯科口腔外科,0,http://global-kai.com/facility/kokubunji/,
,,,,,,,,,,,,,,,,,,,,,,,,,
530,372013,,香川県,高松市,デンタルステーションりつりん歯科医院,デンタルステーションリツリンシカイイン,歯科,香川県高松市西ハゼ町18,マルナカ栗林南店1F,",",087-867-1181,,,,医療法人社団グローバル会,,月水木金土,09：00,18：00,土曜日9：00～17：00まで。祝日のある週の火曜日は9：00～18：00, ,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://global-kai.com/facility/nishihaze/,
531,372013,,香川県,高松市,デンタルステーションレインボー歯科医院,デンタルステーションレインボーシカイイン,歯科,香川県高松市多肥下町1553-4,,",",087-814-8888,,087-866-0321,,医療法人社団グローバル会,,火水木金土日祝,10：00,19：30,日曜日、祝日18：00まで。,,歯科、矯正歯科、小児歯科,0,http://global-kai.com/facility/tahishimo/,
532,372013,,香川県,高松市,としま歯科医院,トシマシカイイン,歯科,香川県高松市伏石町1428-16,,",",087-865-7878,,087-865-6597,,豊島　雄一,,月火水木金土,09：00,18：00,土曜日13：00まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://takamatsu-toshimadc.com/,
533,372013,,香川県,高松市,豊嶋歯科医院,トヨシマシカイイン,歯科,香川県高松市古新町5-1,,",",087-822-6575,,087-822-6335,,医療法人社団新樹会,,月火水木金土,09：00,18：00,土曜日13：00まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://www.toyoshima-dc.or.jp/,
534,372013,,香川県,高松市,鳥かい歯科医院,トリカイシカイイン,歯科,香川県高松市檀紙町1514-1,,",",087-885-2525,,087-885-4111,,医療法人社団鳥かい歯科医院,,月火水金土,09：00,18：00,,,歯科、小児歯科、歯科口腔外科,0,https://www.torikaidental.com/,
535,372013,,香川県,高松市,永木歯科医院,ナガキシカイイン,歯科,香川県高松市松福町二丁目10-6,,",",087-823-1188,,087-822-1040,,医療法人社団永木歯科医院,,月火木金土,09：00,18：00,土曜日17：00まで。,,歯科、小児歯科,0,https://itp.ne.jp/info/510000000000061882/,
536,372013,,香川県,高松市,長束歯科医院,ナガタバシカイイン,歯科,香川県高松市高松町2488-12,,",",087-843-1818,,087-843-5577,,医療法人社団長束歯科医院,,月火水木金土,09：00,18：30,,,歯科、小児歯科,0,http://www.418takamatu.com/hospital/natsuka/,
537,372013,,香川県,高松市,なかつか歯科医院,ナカツカシカイイン,歯科,香川県高松市栗林町二丁目10-13,,",",087-862-3150,,087-862-3150,,中塚　智雄,,月火水木金土,09：00,18：00,木曜日13：00、土曜日17：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://www.nakatsukashika.jp/,
538,372013,,香川県,高松市,永原歯科医院,ナガハラシカイイン,歯科,香川県高松市伏石町2126-7,,",",087-866-1115,,087-865-9511,,永原　滋万,,月火水木金土,08：30,18：30,木曜日12：30まで。,,歯科、小児歯科、歯科口腔外科,0,,
539,372013,,香川県,高松市,ながまち歯科医院,ナガマチシカイイン,歯科,香川県高松市香川町浅野624-7,,",",087-888-6001,,087-888-6047,,長町　直樹,,月火木金土,09：00,18：00,,,歯科、小児歯科,0,,
540,372013,,香川県,高松市,長町歯科クリニック,ナガマチシカクリニック,歯科,香川県高松市木太町2565-4,,",",087-813-4618,,,,長町　健史,,月火水木金土,09：00,18：00,木曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://nagamachi-dc.com/,
541,372013,,香川県,高松市,中村歯科医院,ナカムラシカイイン,歯科,香川県高松市多肥上町509-1,,",",087-888-1211,,087-888-1616,,中村　公士,,月火水木金土,09：00,18：00,木曜日13：00まで。,,歯科、小児歯科,0,http://nakamurashika.net/,
542,372013,,香川県,高松市,なかむら歯科医院,ナカムラシカイイン,歯科,香川県高松市一宮町1591-6,,",",087-885-5655,,087-885-5650,,中村　久美,,月火水木金土,09：00,18：00,木曜日13：00まで。,,歯科、小児歯科,0,,
543,372013,,香川県,高松市,中山歯科医院,ナカヤマシカイイン,歯科,香川県高松市中央町5-29,,",",087-833-6233,,087-833-6233,,中山　盛幹,,月火水木金土,09：00,18：00,土曜日12：00まで。,,歯科,0,https://itp.ne.jp/info/375541015400000899/,
544,372013,,香川県,高松市,中山歯科クリニック,ナカヤマシカクリニック,歯科,香川県高松市花ノ宮町一丁目1-27,,",",087-863-7730,,087-837-8311,,中山　康弘,,月火木金土,09：30,18：00,,,歯科、歯科口腔外科,0,"http://nakayamadental.com/
https://localplace.jp/t100339310/",
545,372013,,香川県,高松市,新枝歯科医院,ニイエダシカイイン,歯科,香川県高松市東山崎町704-1,,",",087-847-2118,,,,医療法人社団Brilliant Smile,,月火水木金土,09：00,18：00,水曜日13：00まで。（ただし同一週内に祝祭日がある場合は、14:30から18:00まで診療を行う）,,歯科、矯正歯科、歯科口腔外科,0,http://niieda-dental-office.com/,
546,372013,,香川県,高松市,新居歯科医院,ニイシカイイン,歯科,香川県高松市国分寺町新居3385-1,,",",087-874-0116,,087-874-0893,,新居　賢,,月火水木金土,09：00,18：00,木曜日12：30まで。,,歯科,0,,
547,372013,,香川県,高松市,西岡歯科医院,ニシオカシカイイン,歯科,香川県高松市塩上町三丁目14-17,,",",087-831-1987,,087-833-4667,,西岡　士郎,,月火水木金土,08：30,18：00,土曜日12：00まで。,,歯科,0,http://nishiokadent.com/,
548,372013,,香川県,高松市,にしくぼ歯科医院,ニシクボシカイイン,歯科,香川県高松市扇町二丁目7-1,岡ビル1F,",",087-813-2088,,087-813-2077,,西窪　政人,,月火水木金土,09：00,18：00,木曜日13：00まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://www.n-dental.dr-clinic.jp/,
549,372013,,香川県,高松市,西クリニック歯科,ニシクリニックシカ,歯科,香川県高松市一宮町783-7,1Ｆ,",",087-899-6712,,,,西　稚子,,月火水木金土,09：00,17：30,木曜日、土曜日12：30まで。,,歯科、小児歯科,0,,
550,372013,,香川県,高松市,西谷歯科医院,ニシタニシカイイン,歯科,香川県高松市郷東町136-6,,",",087-882-8800,,087-882-8850,,西谷　義則,,月火水木金土,09：00,18：30,木曜日13：00まで、第2第4木曜日休診、土曜日17：00まで。,,歯科,0,,
551,372013,,香川県,高松市,西原歯科医院,ニシハラシカイイン,歯科,香川県高松市伏石町2056-3,,",",087-868-3535,,087-868-3535,,医療法人社団西原歯科医院,,月火水木金土,09：00,18：00,水曜日、土曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,https://itp.ne.jp/info/376996915400000899/,
552,372013,,香川県,高松市,西村歯科医院,ニシムラシカイイン,歯科,香川県高松市仏生山町甲1416-1,,",",087-889-1811,,087-888-2135,,医療法人社団皓歯会,,月火水木金土,08：30,18：00,水曜日、土曜日13：00まで。,,歯科、矯正歯科、小児歯科,0,,
553,372013,,香川県,高松市,新田歯科医院,ニッタシカイイン,歯科,香川県高松市仏生山町甲370-3,,",",087-888-4618,,087-888-2590,,新田　浩樹,,月火水金土,09：00,18：30,,,歯科、小児歯科,0,,
554,372013,,香川県,高松市,ぬまた歯科医院,ヌマタシカイイン,歯科,香川県高松市香川町浅野1053-7,,",",087-879-0661,,087-879-0664,,沼田　浩,,月火水金土,08：45,18：00,,,歯科、小児歯科,0,https://dental-clinic.dr-navip.jp/kagawa/facility/1453/,
555,372013,,香川県,高松市,ハッピーデンタルクリニック,ハッピーデンタルクリニック,歯科,香川県高松市檀紙町757-6,,",",087-816-4046,,087-816-4046,,香西　勝之,,月火水金土,09：00,18：00,,,歯科、矯正歯科、小児歯科,0,,
556,372013,,香川県,高松市,馬場歯科医院,ババシカイイン,歯科,香川県高松市多賀町二丁目15-17,,",",087-835-2884,,087-835-2884,,馬場　勝也,,月火水木金土,09：00,18：00,木曜日13：00まで。,,歯科,0,http://www.418takamatu.com/hospital/baba/,
557,372013,,香川県,高松市,丸亀町ハビット歯科クリニック,ハビットシカクリニック,歯科,香川県高松市丸亀町13-3,高松丸亀町商店街参番街東館3F,",",087-851-2266,,087-811-1803,,医療法人社団丸亀町ハビット歯科クリニック,,月火水木金土,09：00,20：00,水曜日13：00、土曜日18：00まで。,,歯科,0,http://habitdc.com/,
558,372013,,香川県,高松市,はまおか歯科医院,ハマオカシカイイン,歯科,香川県高松市新田町甲653-10,,",",087-844-3755,,087-844-3755,,濱岡　宏典,,月火水木金土,09：00,18：00,水曜日、土曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,https://www.hamaokashika.net/,
559,372013,,香川県,高松市,林歯科医院,ハヤシシカイイン,歯科,香川県高松市百間町9-2,,",",087-821-3684,,087-821-3696,,林　秀樹,,月火水木金土,09：00,17：00,土曜日13：00まで。,,歯科,0,,
560,372013,,香川県,高松市,林歯科医院,ハヤシシカイイン,歯科,香川県高松市高松町5-8,,",",087-841-9026,,087-841-9026,,医療法人社団林歯科医院,,月火水木金土,09：00,18：00,木曜日12：30、土曜日16：00まで。,,歯科、矯正歯科、小児歯科,0,http://www.hayashishika.info/,
,,,,,,,,,,,,,,,,,,,,,,,,,
562,372013,,香川県,高松市,はる歯科診療室,ハルシカシンリョウシツ,歯科,香川県高松市西町13-31,,",",087-833-6480,,087-833-6482,,野口　卓司,,月火水木金土,09：00,18：00,火曜日、土曜日12：30まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,https://www.haru-do.com/,
563,372013,,香川県,高松市,番町歯科クリニック,バンチョウシカクリニック,歯科,香川県高松市番町四丁目11-3,,",",087-861-0008,,087-861-0085,,多田　爲則,,月火水木金土,09：00,18：00,水曜日13：00、土曜日17：00まで。,,歯科、小児歯科,0,http://www.bancho-dc.com/,
564,372013,,香川県,高松市,坂東歯科クリニック,バンドウシカクリニック,歯科,香川県高松市西宝町一丁目10-12,ツリーハイム2F201,",",087-837-6487,,087-837-6487,,坂東　達矢,,月火水木金土,09：00,16：00,木曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,https://www.facebook.com/bandosika/,
565,372013,,香川県,高松市,ひまわり歯科医院,ヒマワリシカイイン,歯科,香川県高松市松縄町1143-3,,",",087-868-5151,,087-868-5151,,永原　義章,,月火木金土,09：00,18：00,土曜日16：00まで。,,歯科、小児歯科、歯科口腔外科,0,,
566,372013,,香川県,高松市,兵庫町歯科,ヒョウゴマチシカ,歯科,香川県高松市兵庫町2-2,兵庫町商店街アーケード内,",",087-851-8211,,087-851-4182,,宿南　仁志,,月火水木土日,09：00,20：00,日曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://hyogomachi-dc.com/,
567,372013,,香川県,高松市,平池歯科医院,ヒライケシカイイン,歯科,香川県高松市天神前9-25,,",",087-835-0295,,,,平池　洋一郎,,月火水木金土,09：00,18：00,,,歯科,0,,
568,372013,,香川県,高松市,平尾歯科クリニック,ヒラオシカクリニック,歯科,香川県高松市多肥上町1223-19,,",",087-814-4015,,,,平尾　史恵,,月火水木金土,09：00,18：00,木曜日12：30、土曜日17：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://user.j-connect.net/hirao-dental-clinic/,
569,372013,,香川県,高松市,平田歯科医院,ヒラタシカイイン,歯科,香川県高松市紺屋町4-7,,",",087-821-7459,,087-821-7559,,平田　成志,,月火水木金土,09：00,18：00,土曜日午後休診。,,歯科,0,http://hirata.main.jp/,
570,372013,,香川県,高松市,ひらの歯科,ヒラノシカ,歯科,香川県高松市木太町2063-6,,",",087-812-6480,,,,比良野　哲彦,,月火水木金土,09：00,20：00,土曜日17：00まで。,,歯科、小児歯科、歯科口腔外科,0,https://www.hirano-shika.dental/,
571,372013,,香川県,高松市,裕歯科クリニック,ヒロシシカクリニック,歯科,香川県高松市上林町字竹部65-1,,",",087-816-4618,,087-816-1846,,医療法人社団　裕歯科クリニック,,月火水金土,09：00,18：00,,,歯科、小児歯科,0,http://www.hiroshi-dc.com/,
572,372013,,香川県,高松市,広瀬歯科医院,ヒロセシカイイン,歯科,香川県高松市御坊町4-19,藤井ビル2F,",",087-851-3383,,087-823-4351,,広瀬　佳史,,月火水木金土,09：00,17：00,木曜日、土曜日12：00まで。,,歯科,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,
574,372013,,香川県,高松市,ふくもと歯科クリニック,フクモトシカクリニック,歯科,香川県高松市太田下町3038-12,,",",087-897-3388,,087-897-3389,,医療法人ふくもと歯科クリニック,,月火木金土,08：30,18：00,土曜日は17：30まで。　祝日が平日にある時は水曜日１日診療。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://www.fukumoto-dental.com/,
575,372013,,香川県,高松市,藤木歯科医院,フジキシカイイン,歯科,香川県高松市香南町由佐1152,,",",087-879-1188,,087-879-1170,,藤木　秀保,,月火水木金土,09：00,18：00,土曜日16：30まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,,
576,372013,,香川県,高松市,藤塚歯科クリニック,フジツカシカクリニック,歯科,香川県高松市藤塚町一丁目7-25,,",",087-813-1103,,087-813-1103,,小山　貴生,,月火木金土,10：00,21：00,土曜日13：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://fujituka-dc.com/,
577,372013,,香川県,高松市,フジツカ三好歯科医院,フジツカミヨシシカイイン,歯科,香川県高松市藤塚町三丁目1-10,,",",087-831-3025,,087-834-8308,,三好　貴美子,,月火水木金土,09：30,18：00,月曜日16：00から18：00まで。,,歯科,0,,
578,372013,,香川県,高松市,藤本歯科医院,フジモトシカイイン,歯科,香川県高松市瀬戸内町16-13,,",",087-837-1182,,087-837-1189,,藤本　幸重,,月火水木金土,09：00,19：00,水曜日13：00、土曜日17：00まで。,,歯科,0,,
579,372013,,香川県,高松市,ふじわら歯科医院,フジワラシカイイン,歯科,香川県高松市松縄町1104-2,,",",087-865-5884,,087-865-5884,,藤原　和彦,,月火木金土,09：00,18：00,,,歯科、小児歯科,0,https://www.fujiwara-sika.jp/,
580,372013,,香川県,高松市,フチダ歯科医院,フチダシカイイン,歯科,香川県高松市香川町大野1320-1,,",",087-886-5117,,087-886-5117,,渕田　眞利子,,月火水木金土,08：30,17：30,木曜日12：30、土曜日16：30まで。,,歯科、小児歯科,0,http://www7b.biglobe.ne.jp/~fuchida/,
581,372013,,香川県,高松市,フラワー歯科,フラワーシカ,歯科,香川県高松市三条町608-1,ゆめタウン高松2F,",",087-815-1211,,087-867-6760,,医療法人白樹会,,月火水木金土日祝,09：00,20：00,土曜日、日曜日、祝日18：30まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://www.flower-sika.com/,
582,372013,,香川県,高松市,古市歯科医院,フルイチシカイイン,歯科,香川県高松市多賀町二丁目5-6,,",",087-831-2810,,087-880-7150,,医療法人社団明恵会,,月火水金土,08：30,18：00,土曜日18：00まで。祝日のある週は木曜午後診察。,,歯科、小児歯科,0,http://furuichi-dent.com/,
583,372013,,香川県,高松市,フレッシュ歯科,フレッシュシカ,歯科,香川県高松市林町1183,,",",087-814-4181,,,,医療法人フレッシュ歯科,,月火水木金土,09：00,18：00,水曜日13：00まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,https://www.fresh-shika.com/,
584,372013,,香川県,高松市,フレンズ歯科クリニック,フレンズシカクリニック,歯科,香川県高松市木太町5023-25,,",",087-815-1181,,087-815-1190,,医療法人友慈会フレンズ歯科クリニック,,月火水木金土,09：00,18：00,水曜日12：30まで。,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://www.friends-dental.com/,
585,372013,,香川県,高松市,細川歯科クリニック,ホソカワシカクリニック,歯科,香川県高松市亀井町12-4,日の出ビル2F,",",087-835-2056,,087-835-2056,,細川　雅敬,,月火水木金土,09：00,18：00,土曜日13：00まで。,,歯科,0,,
586,372013,,香川県,高松市,ほりうち歯科,ホリウチシカ,歯科,香川県高松市新田町乙25-34,,",",087-841-0648,,087-841-2655,,堀内　正純,,月火水金土,09：30,19：00,,,歯科、小児歯科,0,,
587,372013,,香川県,高松市,堀歯科診療所,ホリシカシンリョウジョ,歯科,香川県高松市福田町14-18,,",",087-821-5773,,087-821-5752,,堀　祥二,,月火水木金土,09：00,18：00,土曜日13：00まで。,,歯科、矯正歯科、小児歯科,0,,
588,372013,,香川県,高松市,マシマ歯科クリニック,マシマシカクリニック,歯科,香川県高松市三谷町384-1,,",",087-814-6600,,,,間島　徹,,月火水木金土,09：00,18：00,木曜日12：30、土曜日17：00まで。,,歯科、小児歯科、歯科口腔外科,0,http://www.mashima-dc.com/,
589,372013,,香川県,高松市,ますだ歯科医院,マスダシカイイン,歯科,香川県高松市屋島西町2484-18,ウエストコーストヤシマA203,",",087-843-7718,,087-843-7718,,増田　幸三,,月火水木金土,09：00,20：00,,,歯科、小児歯科,0,http://park6.wakwak.com/~masoo/,
590,372013,,香川県,高松市,町田歯科クリニック,マチダシカクリニック,歯科,香川県高松市多肥下町1587-11,,",",087-813-8241,,087-813-8241,,町田　誠一,,月火木金土,09：00,18：30,,,歯科、矯正歯科、小児歯科、歯科口腔外科,0,http://www.machida-dc.com/main.html,
