"施設名称１","施設名称２","施設名称かな","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者名","営業者名かな","業種","業態","許可番号","初回許可年月日","許可開始日","許可終了日"
"水辺の休憩所",,"ミズベノキュウケイジョ","761-0303","高松市六条町６７２",,"              ","川嶋　伸岳","カワシマ　ノブタケ","飲食店営業","露店：定置","第10406-3040483号","R04.06.24","R04.06.24","R09.08.31"
"Ｕｎｉ　Ｅ’　ｍｅａｌ　香川大学前",,"ユニエミールカガワダイガクマエ","760-0015","高松市紫雲町２−３",,"              ","香川大学生活協同組合","カガワダイガクセイカツキョウドウクミアイ","飲食店営業","給食","第10106-3051739号","R06.03.05","R06.03.05","R12.05.31"
"ガジュマル　ＰＩＺＺＡ",,"ガジュマルピザ","        ","高松市一円",,,"滝平　光来","タキヒラ　ミツキ","飲食店営業","車","第10410-3051723号","R06.02.28","R06.02.28","R11.02.28"
"スナック","ピアス","ピアス","760-0045","高松市古馬場町９−３０","三野ビル１階","087-823-3150  ","加藤　寿美","カトウ　ヒサミ","飲食店営業","飲み屋","第10401-3051721号","R06.03.01","R06.03.01","R11.02.28"
"ｃｌｕｂ　ＤＡＨＬＩＡ",,"クラブダリア","760-0029","高松市丸亀町９−２６","杉山ビル３階","087-899-2833  ","安藤　智美","アンドウ　トモミ","飲食店営業","飲み屋","第10401-3051724号","R06.03.01","R06.03.01","R11.02.28"
"ｔｏｍｏ",,"トモ","760-0050","高松市亀井町１２−１","（三好ビル１階）",,"黒川　友和","クロカワ　トモカズ","そうざい製造業","そうざい","第22800-3051725号","R06.03.01","R06.03.01","R11.02.28"
"＃ハナハミネ",,"ハナハミネ","760-0012","高松市瀬戸内町３０−７３",,,"大原　希","オオハラ　ノゾミ","菓子製造業","菓子","第20101-2030195号","R03.05.31","R03.05.31","R08.05.31"
"＃ハナハミネ",,"ハナハミネ","760-0012","高松市瀬戸内町３０−７３",,,"大原　希","オオハラ　ノゾミ","飲食店営業","喫茶","第10105-2030194号","R03.05.31","R03.05.31","R08.05.31"
"ハナハミネ",,"ハナハミネ","760-0011","高松市浜ノ町１−２０","高松オルネ１階","087-811-3370  ","大原　希","オオハラ　ノゾミ","飲食店営業","喫茶","第10105-3051743号","R06.03.07","R06.03.07","R11.05.31"
"さくらドーナツ堂",,"サクラドーナツドウ","760-0054","高松市常磐町１−３−１","２階","              ","株式会社平井料理システム","ヒライリョウリシスシステム","菓子製造業","菓子","第20101-3051761号","R06.03.11","R06.03.11","R11.05.31"
"ＰＩＮＮＡＣＬＥ　ＧＹＭ",,"ピナクル　ジム","761-0313","高松市下田井町３７２−１",,"087-802-3796  ","午頭　稔二","ゴトウ　シンジ","飲食店営業","喫茶","第10105-3051728号","R06.03.01","R06.03.01","R11.02.28"
"ＭＡＲＫＳ　ＣＡＦＥ　＆　ＢＩＫＥ",,"マークスカフェアンドバイク","760-0080","高松市木太町１９１８−２",,"087-880-5327  ","松尾　曉","マツオ　アキラ","飲食店営業","喫茶","第10105-3051729号","R06.03.01","R06.03.01","R11.02.28"
"グルマン酒場",,"グルマンサカバ","760-0028","高松市鍛冶屋町４−５","エミーワンビル東棟地下階北号室",,"川浪　英司","カワナミ　エイジ","飲食店営業","居酒屋・焼肉","第10107-3051791号","R06.03.21","R06.03.21","R11.05.31"
"ツジセイ製菓株式会社",,"ツジセイセイカカガワコウジョウ","761-1704","高松市香川町川内原１５９１−１",,"087-885-2000  ","ツジセイ製菓株式会社","ツジセイセイカ","菓子製造業","菓子","第20101-3040219号","R04.06.01","R04.06.01","R09.05.31"
"来来亭","高松屋島店","ライライテイ　タカマツヤシマテン","761-0104","高松市高松町３００５−９",,"087-844-2990  ","株式会社来来亭","ライライテイ","飲食店営業","めん","第10104-3051806号","R06.03.25","R06.03.25","R11.05.31"
"コーヒービーンズショップ　アロバー　松縄店",,"コーヒービーンズショップアロバーマツナワテン","760-0080","高松市木太町５０９３−２",,"087-866-3091  ","株式会社アロバー","アロバー","飲食店営業","喫茶","第10105-3051818号","R06.03.28","R06.03.28","R11.05.31"
"仏生山の森（内）　おかしの時間",,"ブッショウザンノモリオカシノジカン","761-8078","高松市仏生山町甲８８４−２",,"087-899-7722  ","株式会社平井料理システム","ヒライリョウリシステム","清涼飲料水製造業","清涼飲料水","第23100-2030168号","R03.05.26","R03.05.26","R08.05.31"
"山武商店",,"ヤマタケショウテン","761-8032","高松市鶴市町２２０−１",,"087-881-2928  ","株式会社山食","カブシキガイシャヤマショク","食肉販売業","食肉販売","第21601-3051781号","R06.03.14","R06.03.15","R11.05.31"
"仏生山の森（内）　おかしの時間",,"ブッショウザンノモリオカシノジカン","761-8078","高松市仏生山町甲８８４−２",,"087-899-7722  ","株式会社平井料理システム","ヒライリョウリシステム","飲食店営業","一般","第10101-2020403号","R02.07.21","R02.07.21","R07.08.31"
"仏生山の森（内）　おかしの時間",,"ブッショウザンノモリオカシノジカン","761-8078","高松市仏生山町甲８８４−２",,"087-899-7722  ","株式会社平井料理システム","ヒライリョウリシステム","菓子製造業","菓子","第20101-2020404号","R02.07.21","R02.07.21","R07.08.31"
"仏生山の森（内）　おかしの時間",,"ブッショウザンノモリオカシノジカン","761-8078","高松市仏生山町甲８８４−２",,"087-899-7722  ","株式会社平井料理システム","ヒライリョウリシステム","アイスクリーム類製造業","ソフトクリーム","第21302-2020405号","R02.07.21","R02.07.21","R07.08.31"
"仏生山の森（内）　おかしの時間",,"ブッショウザンノモリオカシノジカン","761-8078","高松市仏生山町甲８８４−２",,"087-899-7722  ","株式会社平井料理システム","ヒライリョウリシステム","食品の冷凍又は冷蔵業","冷凍冷蔵","第20901-2020406号","R02.07.21","R02.07.21","R07.08.31"
"仏生山の森（内）　おかしの時間",,"ブッショウザンノモリオカシノジカン","761-8078","高松市仏生山町甲８８４−２",,"087-899-7722  ","株式会社平井料理システム","ヒライリョウリシステム","かん詰又はびん詰食品製造業","びん缶","第21000-2020407号","R02.07.21","R02.07.21","R07.08.31"
"スターバックスコーヒー　高松西宝町店",,"スターバックスコーヒー　タカマツサイホウチョウテン","760-0004","高松市西宝町１−３９７−１",,"087-873-1251  ","スターバックスコーヒージャパン株式会社","スターバックスコーヒージャパンカブシキガイシャ","飲食店営業","喫茶","第10105-3051813号","R06.03.25","R06.03.25","R11.05.31"
"ザグスタまつなわ",,"ザグスタマツナワ","760-0079","高松市松縄町１０８７−３",,"087-869-8766  ","株式会社中央","チュウオウ","飲食店営業","給食","第10106-3040111号","R04.06.01","R04.06.01","R09.05.31"
"芋松",,"イモマツ","760-0020","高松市錦町１−１１−６","石原ビル１階","              ","松川設備工業株式会社","マツカワセツビコウギョウ","飲食店営業","その他","第10404-3051741号","R06.03.06","R06.03.06","R11.05.31"
"ｖｉｃｕｒａｎｔｅ",,"ビクランテ","760-0009","高松市峰山町１７８４−１",,,"浅井　歩","アサイ　アユミ","飲食店営業","喫茶","第10105-3051766号","R06.03.11","R06.03.13","R11.05.31"
"おしゃべりさんの台所",,"オシャベリサンノダイドコロ","        ","高松市一円",,,"大野　次未","オオノ　ツグミ","飲食店営業","露店：仮設","第10407-3051756号","R06.03.08","R06.03.08","R11.05.31"
"ジャングルビアガーデン／蠣小屋",,"ジャングルビアガーデン／カキゴヤ","760-0029","高松市丸亀町７−１６","丸亀町グリーン西館４階","087-823-5570  ","株式会社平井料理システム","ヒライリョウリシステム","飲食店営業","一般","第10101-3040821号","R04.09.01","R04.09.01","R09.08.31"
"居酒屋　美鶏",,"イザカヤ　ミドリ","761-1706","高松市香川町川東上１７６４−３",,,"渡邉　泰典","ワタナベ　ヤスノリ","飲食店営業","居酒屋・焼肉","第10107-3060075号","R06.04.23","R06.04.23","R11.05.31"
"酒１３",,"サカイサン","761-8077","高松市出作町３０３−１０",,"              ","酒井　恭子","サカイ　キョウコ","飲食店営業","飲み屋","第10401-3051751号","R06.03.06","R06.03.06","R11.05.31"
"ｕｎｉ　ｅｌｉｘｉｒｓ　ｂａｒ","つまさんど","ウニ　エリクサーズ　バー　ツマサンド","760-0027","高松市紺屋町２−１",,"087-802-6000  ","田中　大樹","タナカ　ダイキ","飲食店営業","飲み屋","第10401-3051744号","R06.03.06","R06.03.06","R11.05.31"
"Ｃｉｅｌ　シエル",,"シエル","        ","高松市一円",,,"堀上　幸子","ホリウエ　サチコ","飲食店営業","車","第10410-3051740号","R06.03.05","R06.03.05","R11.05.31"
"しゃぶ亭まる","下田井店","シャブテイマルシモタイテン","761-0313","高松市下田井町５９４−２",,"087-847-5443  ","有限会社しゃぶ亭まる","シャブテイマル","飲食店営業","一般","第10101-3030974号","R04.03.01","R04.03.01","R09.02.28"
"快活ＣＬＵＢ","高松瓦町駅前店","カイカツクラブタカマツカワラマチエキマエテン","760-0052","高松市瓦町２−６−１４","４階","087-832-0788  ","株式会社快活フロンティア","カイカツフロンティア","飲食店営業","喫茶","第10105-1280115号","H28.04.26","R03.06.01","R08.05.31"
"珈琲館","ゆめタウン高松店","コーヒーカン　ユメタウンタカマツテン","761-8072","高松市三条町６０８−１",,"087-868-5385  ","Ｃ−Ｕｎｉｔｅｄ株式会社","シーユナイテッド","飲食店営業","喫茶","第10105-0045542号","H10.09.11","R02.12.01","R07.11.30"
"やをら",,"ヤヲラ","761-1402","高松市香南町由佐１４９９−１",,"              ","岡本　剛昇","オカモト　マサノリ","飲食店営業","喫茶","第10105-3051785号","R06.03.18","R06.03.18","R11.05.31"
"ねこに大判",,"ネコニオオバン","761-0443","高松市川島東町９３９−６",,,"特定非営利活動法人シエンタ","トクテイヒエイリカツドウホウジンシエンタ","菓子製造業","菓子","第20101-3051767号","R06.03.12","R06.03.12","R11.05.31"
"ミント",,"ミント","        ","高松市一円",,"              ","篠丸　真琴","シノマル　マコト","飲食店営業","車","第10410-3051745号","R06.03.06","R06.03.06","R11.05.31"
"高松センチュリーホテル",,"タカマツセンチュリーホテル","760-0020","高松市錦町１−４−１９",,"087-851-0558  ","有限会社高松センチュリーホテル","タカマツセンチュリーホテル","飲食店営業","旅館・ホテル","第10301-1300395号","H30.06.22","H30.06.22","R06.08.31"
"０８７ｋｉｔｃｈｅｎ",,"オハナキッチン","        ","高松市一円",,"              ","松原　璃良","マツバラ　アキラ","飲食店営業","車","第10410-3051525号","R06.02.02","R06.02.02","R11.02.28"
"Ａｎｅｗ　Ｃａｆｅ",,"アニュウカフェ","        ","高松市一円",,,"森　貴司","モリ　タカシ","飲食店営業","露店：仮設","第10407-2021137号","R03.03.25","R03.03.25","R08.05.31"
"セブン−イレブン","高松林町店","セブンイレブンタカマツハヤシマチテン","761-0301","高松市林町１１８０−１",,"087-867-2772  ","株式会社ワイズ","ワイズ","飲食店営業","その他","第10404-3051814号","R06.03.27","R06.03.27","R12.05.31"
"きのと　喫茶",,"キノト","760-0050","高松市亀井町４−１４",,"087-834-7488  ","木野戸　庸子","キノト　ヨウコ","飲食店営業","喫茶","第10105-3030235号","R03.09.01","R03.09.01","R08.08.31"
"ねこに大判",,"ネコニオオバン","761-0443","高松市川島東町９３９−６",,,"特定非営利活動法人シエンタ","トクテイヒエイリカツドウホウジンシエンタ","飲食店営業","その他","第10404-3051768号","R06.03.12","R06.03.12","R11.05.31"
"Ｂｅａｒｓ　ｋｉｔｃｈｅｎ",,"ベアーズ　キッチン","        ","高松市一円",,"              ","小笠原　良子","オガサハラ　リョウコ","飲食店営業","車","第10410-3051748号","R06.03.07","R06.03.07","R11.05.31"
"酒場　グーニーズ",,"サカバ　グーニーズ","760-0040","高松市片原町９−８",,"087-811-6845  ","株式会社Ｂｏｒｒａｃｈｏ","ボラーチョ","飲食店営業","居酒屋・焼肉","第10107-1261417号","H27.03.12","R02.06.01","R07.05.31"
"キッチン空",,"キッチンソラ","769-0101","高松市国分寺町新居５７６−６",,,"濵田　梨詠","ハマダ　リエ","飲食店営業","喫茶","第10105-3060133号","R06.05.07","R06.05.07","R11.05.31"
"サングリエ",,"サングリエ","        ","高松市一円",,"              ","芳田　裕美","ヨシダ　ヒロミ","飲食店営業","車","第10410-3051718号","R06.02.27","R06.02.27","R11.02.28"
"イオン高松東店（デリカ）",,"イオンタカマツヒガシテン（デリカ）","760-0066","高松市福岡町３−８−５","イオン高松東１階","087-826-4111  ","イオンリテール株式会社","イオンリテール","菓子製造業","菓子","第20101-3031085号","R04.03.01","R04.03.01","R09.02.28"
"イオン高松東店（ホットデリカ）",,"イオンタカマツヒガシテン（ホットデリカ）","760-0066","高松市福岡町３−８−５","イオン高松東店１階","087-826-4111  ","イオンリテール株式会社","イオンリテール","飲食店営業","おかず","第10403-3040371号","R04.05.20","R04.05.20","R09.05.31"
"イオン高松東店（寿司米飯）",,"イオンタカマツヒガシテン（スシベイハン）","760-0066","高松市福岡町３−８−５","イオン高松東店１階","087-826-4111  ","イオンリテール株式会社","イオンリテール","飲食店営業","弁当","第10203-3040368号","R04.06.01","R04.06.01","R09.05.31"
"イオン高松東店（焼鳥）",,"イオンタカマツヒガシテン（ヤキトリ）","760-0066","高松市福岡町３−８−５","イオン高松東１階","087-826-4111  ","イオンリテール株式会社","イオンリテール","飲食店営業","おかず","第10403-0055698号","H17.06.23","R02.09.01","R07.08.31"
"家庭料理　自然堂",,"カテイリョウリ　シゼンドウ","760-0071","高松市藤塚町３−１６−４","メゾンドール三野１階",,"小田　芽維","オダ　メイ","飲食店営業","一般","第10101-2020415号","R02.07.22","R02.07.22","R07.08.31"
"喫茶　オトア",,"オトア","761-0122","高松市牟礼町大町１６７２−３",,,"西浦　朱音","ニシウラ　アカネ","飲食店営業","一般","第10101-3051760号","R06.03.06","R06.03.06","R11.05.31"
"べに",,"ベニ","760-0045","高松市古馬場町１３−１","三宅ビル２階","087-823-2236  ","大畑　志保","オオハタ　シホ","飲食店営業","飲み屋","第10401-3051770号","R06.03.11","R06.03.11","R11.05.31"
"四川飯店　担々麺",,"シセンハンテン　タンタンメン","760-0019","高松市サンポート２−１","マリタイムプラザ高松３階","087-813-2771  ","四国民権企業株式会社","シコクミンケンキギョウ","飲食店営業","めん","第10104-3051825号","R06.03.28","R06.03.28","R11.05.31"
"焼肉　晴",,"ヤキニク　ハル","761-0301","高松市林町２５３７−１",,,"山口　賢弥","ヤマグチ　ケンヤ","飲食店営業","居酒屋・焼肉","第10107-3051800号","R06.03.22","R06.03.22","R11.05.31"
"洋食の店　はる",,"ヨウショクノミセ　ハル","761-8076","高松市多肥上町１８７６−６",,,"香西　陽太朗","コウザイ　ヨウタロウ","飲食店営業","一般","第10101-3051801号","R06.03.22","R06.03.22","R11.05.31"
"いなりや",,"イナリヤ","760-0050","高松市亀井町１２−４","日の出ビル１階",,"村井　信之","ムライ　ノブユキ","飲食店営業","一般","第10101-3051804号","R06.03.25","R06.03.25","R11.05.31"
"いなりや",,"イナリヤ","760-0050","高松市亀井町１２−４","日の出ビル１階",,"村井　信之","ムライ　ノブユキ","そうざい製造業","そうざい","第22800-3051805号","R06.03.25","R06.03.25","R11.05.31"
"Ｂａｒ　Ｍａｒｂｌｅ",,"バー　マーブル","760-0045","高松市古馬場町１０−１０","ソリットビル５階",,"山下　まり","ヤマシタ　マリ","飲食店営業","飲み屋","第10401-3051827号","R06.03.28","R06.03.28","R11.05.31"
"ＳＥＴＯＵＣＨＩ　Ｔｒｉｂｅ",,"セトウチトライブ","761-0312","高松市東山崎町１８３−１　２階",,"087-880-8143  ","株式会社Ｍｉｌｋａｍｏ","ミルカモ","飲食店営業","喫茶","第10105-3051795号","R06.03.21","R06.03.21","R11.05.31"
"サンライズ株式会社　香西工場",,"サンライズ　コウザイコウジョウ","761-8011","高松市香西北町５８１−１１",,"087-882-7369  ","サンライズ株式会社","サンライズ","添加物製造業","小分け","第22902-3051771号","R06.03.13","R06.04.01","R11.05.31"
"ホルモン焼肉　豊千",,"ホルモンヤキニクトヨセン","760-0071","高松市藤塚町３−１−３",,"087-861-3779  ","合同会社ワイ・コムズ","ワイコムズ","飲食店営業","居酒屋・焼肉","第10107-1230187号","H23.05.30","R03.06.01","R08.05.31"
"ファミリーマート","高松香西東店","ファミリーマートタカマツコウザイヒガシテン","761-8013","高松市香西東町３３１−１",,"087-870-5060  ","矢野　隆之","ヤノ　タカユキ","飲食店営業","その他","第10404-3060022号","R06.04.12","R06.04.15","R11.05.31"
"麺屋　ｕｐｄａｔｅ",,"メンヤ　アップデート","        ","高松市一円",,,"松尾　真一","マツオ　シンイチ","飲食店営業","露店：仮設","第10407-3051775号","R06.03.15","R06.03.15","R11.05.31"
"ファミリーマート","高松小村町店","ファミリーマートタカマツオモレチョウテンタカマツ","761-0431","高松市小村町６５０−１",,"087-840-7620  ","佐藤　正明","サトウ　マサアキ","飲食店営業","その他","第10404-1260463号","H26.07.17","R01.09.01","R06.08.31"
"ファミリーマート","木太町八区店","ファミリーマート　キタチョウ８クテン","760-0080","高松市木太町３８４３−１",,"087-815-3511  ","佐藤　正明","サトウ　マサアキ","飲食店営業","その他","第10404-1220958号","H22.11.25","R02.12.01","R07.11.30"
"ＥＬＤＯＲＡＤＯ",,"エルドラド","760-0045","高松市古馬場町９−３１","古馬場ビル３階","087-813-4898  ","羽田野　貴寛","ハダノ　タカヒロ","飲食店営業","飲み屋","第10401-3051783号","R06.03.15","R06.03.15","R11.05.31"
"公益会館　東館",,"コウエキカイカン　ヒガシカン","760-0071","高松市藤塚町３−７−２４",,"087-833-4242  ","株式会社公益社","コウエキシャ","飲食店営業","一般","第10101-3050677号","R05.09.01","R05.09.01","R10.08.31"
"木太町公益会館",,"キタチョウコウエキカイカン","760-0080","高松市木太町１３７０−１",,"087-833-4242  ","株式会社公益社","コウエキシャ","飲食店営業","その他","第10404-3041133号","R04.11.01","R04.11.01","R09.11.30"
"珈琲小屋ＰＥＮ",,,"761-8026","高松市鬼無町鬼無１０４",,,"堀川　周吾","ホリカワ　シュウゴ","飲食店営業","喫茶","第10105-3051289号","R05.11.14","R05.11.14","R10.11.30"
"コリアンスイーツストーリー　ココナ",,"コリアンスイーツストーリー　ココナ","760-0012","高松市瀬戸内町３０−７３",,"087-887-3686  ","株式会社ユーワンプラニング","ユーワンプラニング","菓子製造業","菓子","第20101-2020915号","R03.01.19","R03.01.19","R08.02.28"
"Ｃｈａｌｏｏ",,"チャロー","760-0052","高松市瓦町２−３−３","大喜ビル２０１",,"福岡　健太","フクオカ　ケンタ","飲食店営業","一般","第10101-3060068号","R06.04.23","R06.04.23","R11.05.31"
"居酒屋ひみつきち",,"イザカヤヒミツキチ","761-8084","高松市一宮町３２０−１","ピカデリーワキ１０２","              ","串田　卓也","クシダ　タクヤ","飲食店営業","居酒屋・焼肉","第10107-3060006号","R06.04.05","R06.04.05","R11.05.31"
"健やかファーム",,"スコヤカファーム","761-8033","高松市飯田町１１８−１",,"              ","小川　ジュビタトゴノン","オガワ　ジュビタトゴノン","飲食店営業","喫茶","第10105-3051797号","R06.03.22","R06.03.22","R11.05.31"
"健やかファーム",,"スコヤカファーム","761-8033","高松市飯田町１１８−１",,"              ","小川　ジュビタトゴノン","オガワ　ジュビタトゴノン","食肉販売業","食肉販売","第21601-3051798号","R06.03.22","R06.03.22","R11.05.31"
"Ｒｓ",,"アズ","760-0045","高松市古馬場町１４−４","クリスタルビル１階Ｃ","087-851-6606  ","合同会社アズ","ゴウドウシャアズ","飲食店営業","飲み屋","第10401-3041074号","R04.10.17","R04.10.17","R09.11.30"
"七彩庵",,"ナナイロアン","761-0313","高松市下田井町３４９−５",,,"植松　和世",,"飲食店営業","喫茶","第10105-3051803号","R06.03.25","R06.03.25","R11.05.31"
"株式会社　中村乾物",,"ナカムラカンブツ","760-0026","高松市磨屋町７−６−１階",,,"株式会社中村乾物","ナカムラカンブツ","食品の小分け業","食品の小分け","第52201-3051787号","R06.03.18","R06.03.18","R11.05.31"
"市原漬物加工所",,"イチハラツケモノカコウショ","761-1612","高松市塩江町安原上東３３９−６",,,"市原　紀代二","イタハラキヨジ","漬物製造業","漬物製造","第51501-3051789号","R06.03.19","R06.03.19","R11.05.31"
"広瀬醤油株式会社",,"ヒロセショウユ","761-8084","高松市一宮町１８１９−３",,"087-885-1767  ","広瀬醤油株式会社","ヒロセショウユ","みそ又はしょうゆ製造業","しょうゆ","第51103-3031075号","R04.03.01","R04.03.01","R09.02.28"
"あゆみだ",,"アユミダ","761-1706","高松市香川町川東上９８１−４",,,"土居　美枝子","ドイ　ミエコ","漬物製造業","漬物製造","第51501-3051790号","R06.03.21","R06.03.21","R11.05.31"
"エースワン　高松木太店",,"エースワンタカマツキタテン","760-0080","高松市木太町２４４２ー１",,"087-812-1177  ","株式会社エースワン","エースワン","魚介類販売業","魚介類","第20601-3050070号","R05.04.26","R05.04.26","R10.05.31"
"エースワン","高松木太店","エースワンタカマツキタテン","760-0080","高松市木太町２４４２−１",,"              ","株式会社エースワン","カブシキガイシャエースワン","食品の小分け業","水産製品","第52205-3051742号","R06.03.06","R06.03.06","R11.05.31"
"ドーミーイン高松",,"ドーミーインタカマツ","760-0052","高松市瓦町１−１０−１０",,"087-832-5489  ","株式会社共立メンテナンス","キョウリツメンテナンス","飲食店営業","旅館・ホテル","第10301-3050150号","R05.06.01","R05.06.01","R10.05.31"
"未来学園",,"ミライガクエン","761-0323","高松市亀田町１７２−８",,,"合同会社だいご","ダイゴ","飲食店営業","喫茶","第10105-3051809号","R06.03.26","R06.03.26","R11.05.31"
"未来学園",,"ミライガクエン","761-0323","高松市亀田町１７２−８",,,"合同会社だいご","ダイゴ","菓子製造業","パン","第20102-3051810号","R06.03.26","R06.03.26","R11.05.31"
"志マルシェ",,"ココロザシマルシェ","        ","高松市一円",,"              ","合同会社だいご","ダイゴ","飲食店営業","車","第10410-3051811号","R06.03.26","R06.03.26","R11.05.31"
"アルファリビング","高松百間町","アルファリビング　タカマツヒャッケンマチ","760-0041","高松市百間町８−１１",,"087-813-2474  ","株式会社リエイ","リエイ","飲食店営業","給食","第10106-2020488号","R02.08.18","R02.09.01","R07.08.31"
"ひゅうがや",,"ヒュウガヤ","761-0130","高松市庵治町４５３５",,"087-871-2768  ","日向さとみ","ヒュウガサトミ","飲食店営業","一般","第10101-3060069号","R06.04.19","R06.04.19","R11.05.31"
"あーと工房　ゆいのぱん",,"アートコウボウ　ユイノパン","761-0446","高松市東植田町１３６５",,,"森尾　唯","モリオ　ユイ","飲食店営業","喫茶","第10105-3051817号","R06.03.27","R06.03.27","R11.05.31"
"あーと工房　ゆいのぱん",,"アートコウボウ　ユイノパン","761-0446","高松市東植田町１３６５",,,"森尾　唯","モリオ　ユイ","菓子製造業","パン","第20102-3051815号","R06.03.27","R06.03.27","R11.05.31"
"あーと工房　ゆいのぱん",,"アートコウボウ　ユイノパン","761-0446","高松市東植田町１３６５",,,"森尾　唯","モリオ　ユイ","そうざい製造業","そうざい","第22800-3051816号","R06.03.27","R06.03.27","R11.05.31"
"ザ・セレクトン高松",,"ザ　セレクトンタカマツ","760-0036","高松市城東町１−９−５",,"087-821-2222  ","株式会社エフ・イー・ティーシステム","エフイーティーシステム","飲食店営業","旅館・ホテル","第10301-1301641号","H31.03.18","H31.04.01","R07.05.31"
"たまや　香川本店",,"タマヤ　カガワホンテン","760-0029","高松市丸亀町４−２",,"087-899-2515  ","株式会社たまや","タマヤ","飲食店営業","めん","第10104-3051824号","R06.03.29","R06.03.29","R11.05.31"
"麺屋　一咲",,"メンヤ　イッサ","761-8032","高松市鶴市町２０３６−１",,"              ","岩井　紳太郎","イワイ　シンタロウ","飲食店営業","めん","第10104-3060065号","R06.04.22","R06.04.22","R11.05.31"
"ラ・ムー","高松南店","ラムータカマツミナミテン","761-1705","高松市香川町川東下６０３",,,"大黒天物産株式会社","ダイコクテンブッサン","飲食店営業","その他","第10404-3041826号","R05.03.02","R05.03.02","R11.05.31"
"ａ～じゃん",,"エージャン","760-0071","高松市藤塚町１−５−４",,"087-861-8001  ","網　道彦","アミ　ミチヒコ","飲食店営業","居酒屋・焼肉","第10107-3030232号","R03.09.01","R03.09.01","R08.08.31"
"ｖｉｃｕｒａｎｔｅ",,"ビクランテ","760-0009","高松市峰山町１７８４−１",,,"浅井　歩","アサイ　アユミ","菓子製造業","菓子","第20101-3051819号","R06.03.26","R06.03.26","R11.05.31"
"ｋｉｓｓａ　ｋａｉ",,"キッサ　カイ","761-8078","高松市仏生山町甲８４４",,,"林　憲太郎","ハヤシ　ケンタロウ","飲食店営業","喫茶","第10105-3051822号","R06.03.29","R06.03.29","R11.05.31"
"ｋｉｓｓａ　ｋａｉ",,"キッサ　カイ","761-8078","高松市仏生山町甲８４４",,,"林　憲太郎","ハヤシ　ケンタロウ","菓子製造業","菓子","第20101-3051823号","R06.03.29","R06.03.29","R11.05.31"
"Ｖｉｅｔ　Ｎａｍ　Ｋｉｔｃｈｅｎ　Ｃｈａ　Ｃｈａ",,"ベトナムキッチン　チャチャ","        ","高松市一円",,"              ","株式会社スマートパートナーズ","スマートパートナーズ","飲食店営業","車","第10410-3051821号","R06.03.27","R06.03.27","R11.05.31"
"もにぱん　高松丸亀町店",,"モニパン　タカマツマルガメマチテン","760-0029","高松市丸亀町９−４",,"087-822-0667  ","株式会社フードサポート四国","フードサポートシコク","菓子製造業","パン","第20102-3050559号","R05.07.20","R05.08.01","R10.08.31"
"もにぱん　高松丸亀町店",,"モニパン　タカマツマルガメマチテン","760-0029","高松市丸亀町９−４",,"087-822-0667  ","株式会社フードサポート四国","フードサポートシコク","そうざい製造業","そうざい","第22800-3051828号","R06.03.29","R06.03.29","R11.05.31"
"サンマルクカフェ","高松丸亀町店","サンマルクカフェタカマツマルガメマチテン","760-0029","高松市丸亀町２−３",,"087-821-0309  ","株式会社サンマルクカフェ","サンマルクカフェ","飲食店営業","喫茶","第10105-3050267号","R05.06.01","R05.06.01","R10.05.31"
"ヨシケイ香川事業部",,"ヨシケイカガワジギョウブ","761-0101","高松市春日町１５３３−１",,"087-844-4500  ","株式会社フードサポート四国","フードサポートシコク","魚介類販売業","魚介類","第20601-0027872号","H05.05.25","R02.06.01","R08.05.31"
"しゃぶ葉","高松レインボーロード店","シャブヨウタカマツレインボーロードテン","761-8071","高松市伏石町２１３９−９",,"087-864-5060  ","株式会社すかいらーくレストランツ","スカイラークレストランツ","飲食店営業","一般","第10101-3041218号","R04.12.01","R04.12.01","R09.11.30"
"しゃぶ葉","高松レインボーロード店","シャブヨウタカマツレインボーロードテン","761-8071","高松市伏石町２１３９−９",,"087-864-5060  ","株式会社すかいらーくレストランツ","スカイラークレストランツ","食肉販売業","食肉販売","第21601-2020661号","R02.10.22","R02.10.22","R07.11.30"
"ＤＯＲＳＩＡ高松",,"ドーシアタカマツ","760-0062","高松市塩上町２−１−１６",,,"株式会社ドーシア","ドーシア","飲食店営業","喫茶","第10105-3060017号","R06.04.10","R06.04.10","R11.05.31"
"６３　ロクサン",,"ロクサン","        ","高松市一円",,,"中西　淳子","ナカニシ　ジュンコ","飲食店営業","車","第10410-3051820号","R06.03.28","R06.03.28","R11.05.31"
"マルナカパワーシティ","屋島店　生活館　（スナックプラザ）","パワーシティ　ヤシマテン　セイカツカン　スナックプラザ","761-0113","高松市屋島西町１９１２−１","２階","087-843-7706  ","株式会社フジ","フジ","飲食店営業","一般","第10101-3030619号","R03.12.01","R03.12.01","R09.11.30"
"ケンタッキーフライドチキン","フジグラン十川店","ケンタッキーフライドチキンフジグランソガワテン","761-0434","高松市十川東町５５−１",,"087-848-9260  ","ＪＲ九州ファーストフード株式会社","キュウシュウファーストフードカブシキガイシャ","飲食店営業","その他","第10404-3050984号","R05.09.22","R05.10.01","R10.11.30"
